日期,点击次数,展示,点击率,排名
2025-12-15,0,3,0.0,1.0
2025-12-16,1,4,0.25,1.0
2025-12-17,1,6,0.16670000000000001,3.3
2025-12-18,1,3,0.3333,2.0
2025-12-19,0,1,0.0,5.0
2025-12-20,0,0,,
2025-12-21,1,2,0.5,9.0
2025-12-22,0,0,,
2025-12-23,0,3,0.0,9.3
2025-12-24,0,2,0.0,6.0
2025-12-25,0,6,0.0,7.5
2025-12-26,0,3,0.0,8.0
2025-12-27,1,4,0.25,17.0
2025-12-28,1,7,0.1429,8.3
2025-12-29,0,4,0.0,7.8
2025-12-30,0,5,0.0,6.6
2025-12-31,1,8,0.125,15.5
2026-01-01,1,9,0.11109999999999999,8.7
2026-01-02,0,11,0.0,8.6
2026-01-03,0,13,0.0,9.7
2026-01-04,1,10,0.1,8.0
2026-01-05,4,39,0.1026,12.1
2026-01-06,6,66,0.0909,11.3
2026-01-07,9,141,0.0638,8.4
2026-01-08,3,120,0.025,7.7
2026-01-09,12,89,0.1348,5.8
2026-01-10,9,71,0.1268,8.4
2026-01-11,14,80,0.175,6.7
2026-01-12,5,72,0.0694,8.7
2026-01-13,3,68,0.0441,7.7
2026-01-14,5,82,0.061,7.5
2026-01-15,6,108,0.0556,7.7
2026-01-16,9,126,0.07139999999999999,7.1
2026-01-17,5,92,0.054299999999999994,8.2
2026-01-18,9,112,0.08039999999999999,6.7
2026-01-19,20,177,0.113,7.5
2026-01-20,9,169,0.0533,6.4
2026-01-21,13,231,0.056299999999999996,6.1
2026-01-22,8,183,0.0437,6.0
2026-01-23,12,197,0.060899999999999996,7.0
2026-01-24,26,202,0.12869999999999998,6.2
2026-01-25,20,252,0.0794,6.7
2026-01-26,18,225,0.08,6.4
2026-01-27,25,257,0.0973,6.3
2026-01-28,23,289,0.0796,6.4
2026-01-29,19,274,0.0693,6.1
2026-01-30,27,937,0.0288,4.6
2026-01-31,14,511,0.0274,5.2
2026-02-01,16,495,0.0323,5.5
2026-02-02,16,341,0.046900000000000004,5.7
2026-02-03,16,449,0.0356,5.6
2026-02-04,16,450,0.0356,5.8
2026-02-05,13,502,0.0259,5.5
2026-02-06,15,673,0.0223,5.4
2026-02-07,16,678,0.0236,5.2
2026-02-08,31,644,0.0481,5.9
2026-02-09,20,729,0.0274,6.9
2026-02-10,28,1404,0.0199,5.8
2026-02-11,27,1536,0.0176,4.5
2026-02-12,22,444,0.0495,6.5
2026-02-13,24,412,0.0583,5.9
2026-02-14,29,371,0.0782,7.0
2026-02-15,37,405,0.09140000000000001,6.3
2026-02-16,19,305,0.0623,7.0
2026-02-17,28,1161,0.0241,5.6
2026-02-18,41,3391,0.0121,5.3
2026-02-19,39,3664,0.0106,5.2
